url	game_start_time	home_team_name	home_team_score	visitor_team_name	visitor_team_score	overtime
/boxscores/201311130PHI.html	7:00 pm	Philadelphia 76ers		Houston Rockets		
/boxscores/201311130POR.html	10:00 pm	Portland Trail Blazers		Phoenix Suns		
/boxscores/201311130SAC.html	10:00 pm	Sacramento Kings		Brooklyn Nets		
/boxscores/201311130SAS.html	8:30 pm	San Antonio Spurs		Washington Wizards		
/boxscores/201311130UTA.html	9:00 pm	Utah Jazz		New Orleans Pelicans		
/boxscores/201311140GSW.html	10:30 pm	Golden State Warriors		Oklahoma City Thunder		
/boxscores/201311140NYK.html	8:00 pm	New York Knicks		Houston Rockets		
/boxscores/201311150ATL.html	7:30 pm	Atlanta Hawks		Philadelphia 76ers		
/boxscores/201311150BOS.html	7:30 pm	Boston Celtics		Portland Trail Blazers		
/boxscores/201311150CLE.html	7:30 pm	Cleveland Cavaliers		Charlotte Bobcats		
/boxscores/201311150DEN.html	8:00 pm	Denver Nuggets		Minnesota Timberwolves		
/boxscores/201311150IND.html	7:00 pm	Indiana Pacers		Milwaukee Bucks		
/boxscores/201311150LAL.html	10:30 pm	Los Angeles Lakers		Memphis Grizzlies		
/boxscores/201311150MIA.html	7:30 pm	Miami Heat		Dallas Mavericks		
/boxscores/201311150PHO.html	9:00 pm	Phoenix Suns		Brooklyn Nets		
/boxscores/201311150SAC.html	10:30 pm	Sacramento Kings		Detroit Pistons		
/boxscores/201311150TOR.html	7:00 pm	Toronto Raptors		Chicago Bulls		
/boxscores/201311150UTA.html	9:00 pm	Utah Jazz		San Antonio Spurs		
/boxscores/201311160CHA.html	7:00 pm	Charlotte Bobcats		Miami Heat		
/boxscores/201311160CHI.html	8:00 pm	Chicago Bulls		Indiana Pacers		
/boxscores/201311160GSW.html	10:30 pm	Golden State Warriors		Utah Jazz		
/boxscores/201311160HOU.html	8:00 pm	Houston Rockets		Denver Nuggets		
/boxscores/201311160LAC.html	10:30 pm	Los Angeles Clippers		Brooklyn Nets		
/boxscores/201311160MIL.html	8:30 pm	Milwaukee Bucks		Oklahoma City Thunder		
